,id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime
5145,46,2015-06-26,The Algerian,1300000,0,"Action,Romance,Thriller",tt1681370,99.0
5146,47,1940-03-21,Rebecca,1288000,6000000,Horror,tt10430534,
5147,48,1981-04-30,Friday the 13th Part 2,1250000,21722776,,,
5148,49,1945-11-29,The Lost Weekend,1250000,11000000,,,
5149,50,1984-08-31,C.H.U.D.,1250000,4700000,,,
5150,51,2014-10-17,Dear White People,1250000,4404154,"Comedy,Drama,Romance",tt2235108,108.0
5151,52,2013-04-19,Filly Brown,1250000,2850357,"Drama,Music",tt1869425,80.0
5152,53,1953-01-21,Niagara,1250000,2500000,,,
5153,54,2016-12-31,Bodom,1250000,0,"Horror,Mystery,Thriller",tt3669462,65.0
5154,55,1941-10-28,How Green Was My Valley,1250000,0,,,
5155,56,2015-01-13,Da Sweet Blood of Jesus,1250000,0,"Comedy,Romance,Thriller",tt3104930,123.0
5156,57,2004-10-29,Saw,1200000,55968727,,,
5157,58,1989-08-04,"Sex, Lies, and Videotape",1200000,24741667,,,
5158,59,2002-02-15,Super Troopers,1200000,18492362,,,
5159,60,2002-02-22,Monsoon Wedding,1200000,13876974,,,
5160,61,2000-11-10,You Can Count on Me,1200000,9180275,,,
5161,62,1951-07-03,Strangers on a Train,1200000,7000000,,,
5162,63,1955-10-03,The Trouble with Harry,1200000,7000000,,,
5163,64,1967-12-29,"Il buono, il brutto, il cattivo",1200000,6100000,,,
5164,65,1951-09-18,The Day the Earth Stood Still,1200000,3700000,,,
5165,66,2013-04-19,Home Run,1200000,2859955,"Drama,Family,Sport",tt1669617,82.0
5166,67,1992-10-23,Reservoir Dogs,1200000,2832029,,,
5167,68,2000-07-07,But I'm a Cheerleader,1200000,2205627,,,
5168,69,1956-12-23,The Wrong Man,1200000,2000000,,,
5169,70,1975-09-26,The Rocky Horror Picture Show,1200000,1414845,,,
5170,71,1976-01-01,The Blue Bird,1200000,887000,Drama,tt9607270,84.0
5171,72,2012-04-13,Blue Like Jazz,1200000,595018,"Comedy,Drama",tt1758575,108.0
5172,73,2015-08-28,Que Horas Ela Volta?,1200000,376976,,,
5173,74,1982-11-19,Q,1200000,255000,Drama,tt1879030,103.0
5174,75,2003-03-21,Down & Out with the Dolls,1200000,58936,,,
5175,76,2012-06-01,"Pink Ribbons, Inc.",1200000,26608,Documentary,tt2035599,97.0
5176,77,2018-02-06,Blood Feast,1200000,8708,Horror,tt4847546,90.0
5177,78,2011-02-11,Certifiably Jonathan,1200000,7826,,,
5178,79,2015-09-18,La navaja de Don Juan,1200000,4254,,,
5179,80,2008-12-31,Extreme Movie,1200000,0,,,
5180,81,1936-10-20,The Charge of the Light Brigade,1200000,0,,,
5181,82,2004-06-18,Grand Theft Parsons,1200000,0,,,
5182,83,2012-08-28,Below Zero,1200000,0,Thriller,tt1641388,99.0
5183,84,2012-09-07,Crowsnest,1200000,0,"Horror,Mystery,Thriller",tt2180333,84.0
5184,85,2012-09-14,Airborne,1200000,0,"Comedy,Crime,Horror",tt1827354,81.0
5185,86,2014-09-09,Cotton Comes to Harlem,1200000,0,,,
5186,87,2015-02-03,Bleeding Hearts,1200000,0,Horror,tt2622294,100.0
5187,88,2013-12-31,The Wicked Within,1200000,0,Horror,tt1943014,84.0
5188,89,2017-12-31,The Islands,1200000,0,Adventure,tt5304664,
5189,90,2014-03-21,Godâs Not Dead,1150000,60755732,,,
5190,91,2005-10-07,Waiting...,1125000,16124543,,,
5191,92,2006-05-12,Dead Man's Shoes,1125000,6408,,,
5192,93,1980-02-01,The Fog,1100000,21445318,,,
5193,94,2005-12-25,Wolf Creek,1100000,16186348,,,
5194,95,2005-02-11,Ong-Bak,1100000,4563167,,,
5195,96,2012-03-23,Serbuan maut,1100000,4105123,,,
5196,97,1986-09-26,Down by Law,1100000,1436000,,,
5197,98,1987-09-04,The Offspring,1100000,1355728,,,
5198,99,2002-02-22,Sex with Strangers,1100000,247740,,,
5199,100,2012-05-18,Beyond the Black Rainbow,1100000,56491,"Horror,Sci-Fi,Thriller",tt1534085,110.0
5200,1,2003-05-14,Dracula: Pages from a Virgin's Diary,1100000,39659,,,
5201,2,2014-11-21,The Sleepwalker,1100000,2636,Drama,tt2723576,91.0
5202,3,2017-03-07,Departure,1100000,0,"Drama,Romance",tt2248739,109.0
5203,4,2009-04-07,Faith Like Potatoes,1100000,0,,,
5204,5,2010-03-23,Lake Mungo,1100000,0,,,
5205,6,2015-04-07,Silent Running,1100000,0,,,
5206,7,2010-12-31,The Dead Undead,1100000,0,"Action,Horror,Sci-Fi",tt0923653,89.0
5207,8,2013-12-31,The Vatican Exorcisms,1100000,0,Horror,tt3043194,76.0
5208,9,2009-12-11,Rocket Singh: Salesman of the Year,1070000,164649,,,
5209,10,1943-01-23,Casablanca,1039000,10462500,,,
5210,11,1976-11-21,Rocky,1000000,117235147,"Action,Comedy,Drama",tt3080284,136.0
5211,12,2012-01-06,The Devil Inside,1000000,53262945,Horror,tt1560985,83.0
5212,13,1963-10-07,Tom Jones,1000000,37600000,,,
5213,14,2015-04-17,Unfriended,1000000,32789645,"Horror,Mystery,Thriller",tt3713166,83.0
5214,15,1976-02-08,Taxi Driver,1000000,28262574,,,
5215,16,2006-05-24,An Inconvenient Truth,1000000,24146161,,,
5216,17,2013-08-23,You're Next,1000000,18494006,"Action,Comedy,Horror",tt1853739,95.0
5217,18,2012-05-25,Chernobyl Diaries,1000000,18119640,"Horror,Mystery,Thriller",tt1991245,86.0
5218,19,1981-04-10,The Howling,1000000,17985000,Horror,tt5694044,83.0
5219,20,1963-05-08,Dr. No,1000000,16067035,,,
5220,21,1987-09-18,Hellraiser,1000000,14564000,,,
5221,22,2016-03-11,"Hello, My Name is Doris",1000000,14444999,,,
5222,23,2005-09-16,Cry Wolf,1000000,10047674,,,
5223,24,2000-08-18,Godzilla 2000,1000000,10037390,,,
5224,25,2010-12-29,Blue Valentine,1000000,9737892,"Drama,Romance",tt1120985,112.0
5225,26,2006-01-20,Transamerica,1000000,9015303,,,
5226,27,1970-01-01,Beyond the Valley of the Dolls,1000000,9000000,,,
5227,28,1956-11-15,Love Me Tender,1000000,9000000,,,
5228,29,2018-07-20,Unfriended: Dark Web,1000000,8866745,"Crime,Horror,Mystery",tt4761916,92.0
5229,30,1949-12-14,Sands of Iwo Jima,1000000,7800000,,,
5230,31,2015-09-25,The Green Inferno,1000000,7192291,"Adventure,Horror",tt2403021,100.0
5231,32,2017-02-03,I Am Not Your Negro,1000000,7123919,Documentary,tt5804038,93.0
5232,33,2012-10-19,The Sessions,1000000,6002451,"Biography,Comedy,Drama",tt1866249,95.0
5233,34,2008-04-04,Shine a Light,1000000,5505267,,tt6448350,
5234,35,2012-03-23,October Baby,1000000,5355847,Drama,tt1720182,107.0
5235,36,2014-09-12,The Skeleton Twins,1000000,5284309,"Comedy,Drama,Romance",tt1571249,93.0
5236,37,2013-06-14,20 Feet From Stardom,1000000,4946250,,,
5237,38,2009-06-12,"Food, Inc.",1000000,4417674,,,
5238,39,2017-07-28,An Inconvenient Sequel,1000000,3496795,,,
5239,40,1998-08-21,Next Stop Wonderland,1000000,3395581,,,
5240,41,2014-06-06,Obvious Child,1000000,3122616,"Comedy,Drama,Romance",tt2910274,84.0
5241,42,2011-10-21,Martha Marcy May Marlene,1000000,2981038,"Drama,Mystery,Thriller",tt1441326,102.0
5242,43,2005-08-03,Junebug,1000000,2678010,,,
5243,44,2008-08-01,Frozen River,1000000,2511476,,,
5244,45,2001-11-21,Sidewalks of New York,1000000,2402459,,,
5245,46,1998-04-24,Two Girls and a Guy,1000000,2057193,,,
5246,47,2000-09-29,The Broken Hearts Club: A Romantic Comedy,1000000,1744858,,,
