,id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime
0,1,2009-12-18,Avatar,425000000,760507625,Horror,tt1775309,93.0
1,2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,"Action,Adventure,Fantasy",tt1298650,136.0
2,3,2019-06-07,Dark Phoenix,350000000,42762350,"Action,Adventure,Sci-Fi",tt6565702,113.0
3,4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,"Action,Adventure,Sci-Fi",tt2395427,141.0
4,5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,,,
5,6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,,,
6,7,2018-04-27,Avengers: Infinity War,300000000,678815482,"Action,Adventure,Sci-Fi",tt4154756,149.0
7,8,2007-05-24,Pirates of the Caribbean: At Worldâs End,300000000,309420425,,,
8,9,2017-11-17,Justice League,300000000,229024295,"Action,Adventure,Fantasy",tt0974015,120.0
9,10,2015-11-06,Spectre,300000000,200074175,"Action,Adventure,Thriller",tt2379713,148.0
10,11,2012-07-20,The Dark Knight Rises,275000000,448139099,"Action,Thriller",tt1345836,164.0
11,12,2018-05-25,Solo: A Star Wars Story,275000000,213767512,"Action,Adventure,Fantasy",tt3778644,135.0
12,13,2013-07-02,The Lone Ranger,275000000,89302115,"Action,Adventure,Western",tt1210819,150.0
13,14,2012-03-09,John Carter,275000000,73058679,"Action,Adventure,Sci-Fi",tt0401729,132.0
14,15,2010-11-24,Tangled,260000000,200821936,"Adventure,Animation,Comedy",tt0398286,100.0
15,16,2007-05-04,Spider-Man 3,258000000,336530303,,,
16,17,2016-05-06,Captain America: Civil War,250000000,408084349,"Action,Adventure,Sci-Fi",tt3498820,147.0
17,18,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,"Action,Adventure,Fantasy",tt2975590,151.0
18,19,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,"Adventure,Family,Fantasy",tt0903624,169.0
19,20,2009-07-15,Harry Potter and the Half-Blood Prince,250000000,302089278,,,
20,21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,"Adventure,Fantasy",tt1170358,161.0
21,22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,"Adventure,Fantasy",tt2310332,144.0
22,23,2017-04-14,The Fate of the Furious,250000000,225764765,"Action,Crime,Thriller",tt4630562,136.0
23,24,2006-06-28,Superman Returns,232000000,200120000,,,
24,25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,"Action,Adventure,Fantasy",tt1790809,129.0
25,26,2008-11-14,Quantum of Solace,230000000,169368427,,,
26,27,2012-05-04,The Avengers,225000000,623279547,"Action,Adventure,Sci-Fi",tt0848228,143.0
27,28,2006-07-07,Pirates of the Caribbean: Dead Manâs Chest,225000000,423315812,,,
28,29,2013-06-14,Man of Steel,225000000,291045518,"Action,Adventure,Sci-Fi",tt0770828,143.0
29,30,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000,141621490,,,
30,31,2012-07-03,The Amazing Spider-Man,220000000,262030663,"Action,Adventure,Sci-Fi",tt0948470,136.0
31,32,2012-05-18,Battleship,220000000,65233400,"Action,Adventure,Sci-Fi",tt1440129,131.0
32,33,2017-06-21,Transformers: The Last Knight,217000000,130168683,"Action,Adventure,Sci-Fi",tt3371366,154.0
33,34,2015-06-12,Jurassic World,215000000,652270625,"Action,Adventure,Sci-Fi",tt0369610,124.0
34,35,2012-05-25,Men in Black 3,215000000,179020854,"Action,Adventure,Comedy",tt1409024,106.0
35,36,2009-06-24,Transformers: Revenge of the Fallen,210000000,402111870,,,
36,37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,"Action,Adventure,Sci-Fi",tt2109248,165.0
37,38,2006-05-26,X-Men: The Last Stand,210000000,234362462,,,
38,39,2010-05-14,Robin Hood,210000000,105487148,"Action,Adventure,Drama",tt0955308,140.0
39,40,2005-12-14,King Kong,207000000,218080025,"Action,Adventure",tt7733440,
40,41,2007-12-07,The Golden Compass,205000000,70107728,,,
41,42,2018-02-16,Black Panther,200000000,700059566,"Action,Adventure,Sci-Fi",tt1825683,134.0
42,43,1997-12-19,Titanic,200000000,659363944,Adventure,tt2495766,
43,44,2018-06-15,Incredibles 2,200000000,608581744,"Action,Adventure,Animation",tt3606756,118.0
44,45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,"Action,Adventure,Sci-Fi",tt3748528,133.0
45,46,2016-06-17,Finding Dory,200000000,486295561,"Adventure,Animation,Comedy",tt2277860,97.0
46,47,2010-06-18,Toy Story 3,200000000,415004880,"Adventure,Animation,Comedy",tt0435761,103.0
47,48,2013-05-03,Iron Man 3,200000000,408992272,"Action,Adventure,Sci-Fi",tt1300854,130.0
48,49,2017-05-05,Guardians of the Galaxy Vol 2,200000000,389813101,,,
49,50,2004-06-30,Spider-Man 2,200000000,373524485,,,
50,51,2010-03-05,Alice in Wonderland,200000000,334191110,"Adventure,Family,Fantasy",tt1014759,108.0
51,52,2012-11-08,Skyfall,200000000,304360277,"Action,Adventure,Thriller",tt1074638,143.0
52,53,2013-06-21,Monsters University,200000000,268488329,"Adventure,Animation,Comedy",tt1453405,104.0
53,54,2013-03-08,Oz the Great and Powerful,200000000,234770996,"Adventure,Family,Fantasy",tt1623205,130.0
54,55,2014-05-23,X-Men: Days of Future Past,200000000,233921534,"Action,Adventure,Sci-Fi",tt1877832,132.0
55,56,2014-05-02,The Amazing Spider-Man 2,200000000,202853933,"Action,Adventure,Sci-Fi",tt1872181,142.0
56,57,2011-06-24,Cars 2,200000000,191450875,"Adventure,Animation,Comedy",tt1216475,106.0
57,58,2010-12-17,Tron: Legacy,200000000,172062763,,,
58,59,2009-11-13,2012,200000000,166112167,,,
59,60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,"Adventure,Family,Fantasy",tt4123430,134.0
60,61,2009-05-21,Terminator Salvation,200000000,125322469,,,
61,62,2011-06-17,Green Lantern,200000000,116601172,"Action,Adventure,Sci-Fi",tt1133985,114.0
62,63,2010-05-28,Prince of Persia: Sands of Time,200000000,90759676,,,
63,64,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,"Action,Adventure,Sci-Fi",tt1399103,154.0
64,65,2017-06-09,The Mummy,195000000,80101125,"Action,Adventure,Fantasy",tt2345759,110.0
65,66,2013-03-01,Jack the Giant Slayer,195000000,65187603,"Adventure,Fantasy",tt1351685,114.0
66,67,2015-04-03,Furious 7,190000000,353007020,"Action,Crime,Thriller",tt2820852,137.0
67,68,2013-05-16,Star Trek Into Darkness,190000000,228778661,"Action,Adventure,Sci-Fi",tt1408101,132.0
68,69,2013-06-21,World War Z,190000000,202359711,"Action,Adventure,Horror",tt0816711,116.0
69,70,2013-05-10,The Great Gatsby,190000000,144840419,"Drama,Romance",tt1343092,143.0
70,71,2009-11-06,Disneyâs A Christmas Carol,190000000,137855863,,,
71,72,2013-07-12,Pacific Rim,190000000,101802906,"Action,Adventure,Sci-Fi",tt1663662,131.0
72,73,2015-11-25,The Good Dinosaur,187500000,123087120,"Adventure,Animation,Comedy",tt1979388,93.0
73,74,2008-05-02,Iron Man,186000000,318604126,"Comedy,Drama,Family",tt3375556,84.0
74,75,2008-07-18,The Dark Knight,185000000,533720947,,,
75,76,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,,,
76,77,2012-06-22,Brave,185000000,237282182,"Adventure,Animation,Comedy",tt1217209,93.0
77,78,2017-03-10,Kong: Skull Island,185000000,168052812,"Action,Adventure,Fantasy",tt3731562,118.0
78,79,2016-07-22,Star Trek Beyond,185000000,158848340,"Action,Adventure,Sci-Fi",tt2660888,122.0
79,80,2017-10-06,Blade Runner 2049,185000000,92054159,"Drama,Mystery,Sci-Fi",tt1856101,164.0
80,81,2019-05-24,Aladdin,182000000,246734314,"Adventure,Comedy,Family",tt6139732,128.0
81,82,2017-11-03,Thor: Ragnarok,180000000,315058289,"Action,Adventure,Comedy",tt3501632,130.0
82,83,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,,,
83,84,2014-05-30,Maleficent,180000000,241407328,"Action,Adventure,Family",tt1587310,97.0
84,85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,"Adventure,Family,Fantasy",tt3183660,132.0
85,86,2008-06-27,WALL-E,180000000,223808164,,,
86,87,2007-08-10,Rush Hour 3,180000000,140125968,,,
87,88,2016-07-01,The Legend of Tarzan,180000000,126643061,"Action,Adventure,Drama",tt0918940,110.0
88,89,2011-11-23,Hugo,180000000,73864507,"Adventure,Drama,Family",tt0970179,126.0
89,90,2017-07-21,Valerian and the City of a Thousand Planets,180000000,40479370,"Action,Adventure,Fantasy",tt2239822,137.0
90,91,2015-02-06,Jupiter Ascending,179000000,47482519,"Action,Adventure,Sci-Fi",tt1617661,127.0
91,92,2018-07-27,Mission: ImpossibleâFallout,178000000,220159104,,,
92,93,2016-05-27,X-Men: Apocalypse,178000000,155442489,"Action,Adventure,Sci-Fi",tt3385516,144.0
93,94,2018-08-10,The Meg,178000000,145443742,"Action,Horror,Sci-Fi",tt4779682,113.0
94,95,2014-06-06,Edge of Tomorrow,178000000,100206256,"Action,Sci-Fi",tt1631867,113.0
95,96,2019-03-08,Captain Marvel,175000000,426525952,"Action,Adventure,Sci-Fi",tt4154664,123.0
96,97,2016-04-15,The Jungle Book,175000000,364001123,Animation,tt2226178,64.0
97,98,2015-06-19,Inside Out,175000000,356461711,"Crime,Drama",tt1640486,93.0
98,99,2017-07-07,Spider-Man: Homecoming,175000000,334201140,"Action,Adventure,Sci-Fi",tt2250912,133.0
99,100,2016-08-05,Suicide Squad,175000000,325100054,"Action,Adventure,Fantasy",tt1386697,123.0
100,1,2009-05-29,Up,175000000,293004164,,,
101,2,2017-11-22,Coco,175000000,209726015,,tt10453328,
102,3,2018-11-21,Ralph Breaks The Internet,175000000,201091711,,,
103,4,2009-03-27,Monsters vs. Aliens,175000000,198351526,,,
104,5,2017-06-16,Cars 3,175000000,152901115,"Adventure,Animation,Comedy",tt3606752,102.0
105,6,2009-08-07,G.I. Joe: The Rise of Cobra,175000000,150201498,,,
106,7,1999-06-30,Wild Wild West,175000000,113805681,,,
107,8,2008-08-01,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,,,
108,9,2007-06-22,Evan Almighty,175000000,100289690,,,
109,10,1995-07-28,Waterworld,175000000,88246220,,,
110,11,2017-05-12,King Arthur: Legend of the Sword,175000000,39175066,"Action,Adventure,Drama",tt1972591,126.0
111,12,2013-12-25,47 Ronin,175000000,38362475,"Action,Adventure,Drama",tt1335975,128.0
112,13,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,"Action,Adventure,Sci-Fi",tt4881806,128.0
113,14,2014-08-01,Guardians of the Galaxy,170000000,333172112,"Action,Adventure,Comedy",tt2015381,121.0
114,15,2010-05-07,Iron Man 2,170000000,312433331,"Action,Adventure,Sci-Fi",tt1228705,124.0
115,16,2014-04-04,Captain America: The Winter Soldier,170000000,259746958,"Action,Adventure,Sci-Fi",tt1843866,136.0
116,17,2014-07-11,Dawn of the Planet of the Apes,170000000,208545589,"Action,Adventure,Drama",tt2103281,130.0
117,18,2004-11-10,The Polar Express,170000000,187224605,,,
118,19,2012-06-01,Snow White and the Huntsman,170000000,155136755,"Action,Adventure,Drama",tt1735898,127.0
119,20,2003-07-01,Terminator 3: Rise of the Machines,170000000,150358296,,,
120,21,2004-05-07,Van Helsing,170000000,120150546,,,
121,22,2019-03-29,Dumbo,170000000,113883318,"Adventure,Family,Fantasy",tt3861390,112.0
122,23,2015-05-22,Tomorrowland,170000000,93436322,"Action,Adventure,Family",tt1964418,130.0
123,24,2019-02-14,Alita: Battle Angel,170000000,85710210,"Action,Adventure,Sci-Fi",tt0437086,122.0
124,25,2019-05-31,Godzilla: King of the Monsters,170000000,85576941,"Action,Adventure,Fantasy",tt3741700,132.0
125,26,2016-05-27,Alice Through the Looking Glass,170000000,77042381,"Adventure,Family,Fantasy",tt2567026,113.0
126,27,2010-05-21,Shrek Forever After,165000000,238736787,"Adventure,Animation,Comedy",tt0892791,93.0
127,28,2016-11-04,Doctor Strange,165000000,232641920,"Action,Adventure,Fantasy",tt1211837,115.0
128,29,2014-11-07,Big Hero 6,165000000,222527828,"Action,Adventure,Animation",tt2245084,102.0
129,30,2010-03-26,How to Train Your Dragon,165000000,217581232,"Action,Adventure,Animation",tt0892769,98.0
130,31,2012-11-02,Wreck-It Ralph,165000000,189412677,"Adventure,Animation,Comedy",tt1772341,101.0
131,32,2014-11-05,Interstellar,165000000,188017894,"Adventure,Drama,Sci-Fi",tt0816692,169.0
132,33,2016-06-24,Independence Day: Resurgence,165000000,103144286,"Action,Adventure,Sci-Fi",tt1628841,120.0
133,34,2011-07-29,Cowboys and Aliens,163000000,100368560,,,
134,35,2017-03-17,Beauty and the Beast,160000000,504014165,"Drama,Fantasy,Romance",tt2316801,112.0
135,36,2018-12-21,Aquaman,160000000,335061807,"Action,Adventure,Fantasy",tt1477834,143.0
136,37,2007-05-17,Shrek the Third,160000000,322719944,,,
137,38,2010-07-16,Inception,160000000,292576195,"Action,Adventure,Sci-Fi",tt1375666,148.0
138,39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000,281723902,"Action,Adventure,Sci-Fi",tt1951266,137.0
139,40,2013-05-24,Fast and Furious 6,160000000,238679850,,,
140,41,2014-05-16,Godzilla,160000000,200676069,"Action,Adventure,Sci-Fi",tt0831387,123.0
141,42,2011-06-03,X-Men: First Class,160000000,146408305,"Action,Adventure,Sci-Fi",tt1270798,131.0
142,43,2008-12-25,The Curious Case of Benjamin Button,160000000,127509326,,,
143,44,2010-07-14,The Sorcerer's Apprentice,160000000,63150991,"Action,Adventure,Family",tt0963966,109.0
144,45,2006-05-12,Poseidon,160000000,60674817,,,
145,46,2016-06-10,Warcraft,160000000,47225655,"Action,Adventure,Fantasy",tt0803096,123.0
146,47,2016-09-30,Deepwater Horizon,156000000,61433527,"Action,Drama,History",tt1860357,107.0
147,48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,"Adventure,Family,Fantasy",tt0980970,113.0
148,49,2015-07-01,Terminator: Genisys,155000000,89760956,,,
149,50,2018-03-23,Pacific Rim: Uprising,155000000,59874525,"Action,Adventure,Sci-Fi",tt2557478,111.0
150,51,2004-11-24,Alexander,155000000,34297191,,,
151,52,2017-07-14,War for the Planet of the Apes,152000000,146880162,"Action,Adventure,Drama",tt3450958,140.0
152,53,2001-05-25,Pearl Harbor,151500000,198539855,,,
153,54,2007-07-02,Transformers,151000000,319246193,,,
154,55,2017-06-02,Wonder Woman,150000000,412563408,"Action,Adventure,Fantasy",tt0451279,141.0
155,56,2013-11-22,Frozen,150000000,400738009,"Adventure,Drama,Sport",tt1323045,93.0
156,57,2016-03-04,Zootopia,150000000,341268248,"Adventure,Animation,Comedy",tt2948356,108.0
157,58,2007-07-11,Harry Potter and the Order of the Phoenix,150000000,292137260,,,
158,59,2005-11-18,Harry Potter and the Goblet of Fire,150000000,290201752,,,
159,60,2003-05-15,The Matrix Reloaded,150000000,281553689,,,
160,61,2007-12-14,I am Legend,150000000,256393010,,,
161,62,2016-11-23,Moana,150000000,248757044,"Adventure,Animation,Comedy",tt3521164,107.0
162,63,2008-07-01,Hancock,150000000,227946274,,,
163,64,2005-07-15,Charlie and the Chocolate Factory,150000000,206459076,,,
164,65,2007-06-29,Ratatouille,150000000,206445654,,,
165,66,2013-11-08,Thor: The Dark World,150000000,206362140,"Action,Adventure,Fantasy",tt1981115,112.0
166,67,2005-06-15,Batman Begins,150000000,205343774,,,
167,68,2015-07-31,Mission: ImpossibleâRogue Nation,150000000,195042377,,,
168,69,2017-07-21,Dunkirk,150000000,190068280,"Action,Drama,History",tt5013056,106.0
169,70,2011-05-06,Thor,150000000,181030624,"Action,Adventure,Fantasy",tt0800369,115.0
170,71,2008-11-07,Madagascar: Escape 2 Africa,150000000,180174880,,,
171,72,2009-05-01,X-Men Origins: Wolverine,150000000,179883157,,,
172,73,2009-05-22,Night at the Museum: Battle of the Smithsonian,150000000,177243721,,,
173,74,2011-05-26,Kung Fu Panda 2,150000000,165249063,"Action,Adventure,Animation",tt1302011,90.0
174,75,2015-05-15,Mad Max: Fury Road,150000000,153636354,"Action,Adventure,Sci-Fi",tt1392190,120.0
175,76,2019-05-10,PokÃ©mon: Detective Pikachu,150000000,139507806,,,
176,77,2003-11-05,The Matrix Revolutions,150000000,139270910,,,
177,78,2018-03-29,Ready Player One,150000000,137690172,"Action,Adventure,Sci-Fi",tt1677720,140.0
178,79,2005-11-04,Chicken Little,150000000,135386665,,,
179,80,2006-05-05,Mission: Impossible III,150000000,133501348,,,
180,81,2009-05-15,Angels & Demons,150000000,133375846,,,
181,82,2004-05-14,Troy,150000000,133298577,,,
182,83,2010-07-01,The Last Airbender,150000000,131772187,"Action,Adventure,Family",tt0938283,103.0
183,84,2007-11-02,Bee Movie,150000000,126631277,,,
184,85,2009-07-24,G-Force,150000000,119436770,,,
185,86,2008-11-21,Bolt,150000000,114053579,,,
186,87,2012-03-30,Wrath of the Titans,150000000,83670083,"Action,Adventure,Fantasy",tt1646987,99.0
187,88,2007-11-16,Beowulf,150000000,82280579,"Action,Drama,Fantasy",tt7694546,80.0
188,89,2012-05-11,Dark Shadows,150000000,79727149,"Comedy,Fantasy,Horror",tt1077368,113.0
189,90,2013-06-28,White House Down,150000000,73103784,"Action,Drama,Thriller",tt2334879,131.0
190,91,2010-02-12,The Wolfman,150000000,62189884,"Drama,Fantasy,Horror",tt0780653,103.0
191,92,2017-02-17,The Great Wall,150000000,45157105,"Action,Adventure,Fantasy",tt2034800,103.0
192,93,2015-10-09,Pan,150000000,35088320,"Adventure,Comedy,Family",tt3332064,111.0
193,94,2011-03-11,Mars Needs Moms,150000000,21392758,"Adventure,Animation,Family",tt1305591,88.0
194,95,2020-12-31,Moonfall,150000000,0,,,
195,96,2006-11-03,Flushed Away,149000000,64665672,,,
196,97,2012-06-08,Madagascar 3: Europe's Most Wanted,145000000,216391482,"Adventure,Animation,Comedy",tt1277953,93.0
197,98,2011-12-16,Mission: ImpossibleâGhost Protocol,145000000,209397903,,,
198,99,2014-06-13,How to Train Your Dragon 2,145000000,177002924,"Action,Adventure,Animation",tt1646971,102.0
199,100,1999-06-16,Tarzan,145000000,171091819,"Adventure,Animation,Drama",tt1705952,94.0
200,1,2014-03-07,Mr. Peabody & Sherman,145000000,111506430,"Adventure,Animation,Comedy",tt0864835,92.0
201,2,2012-11-21,Rise of the Guardians,145000000,103412758,"Action,Adventure,Animation",tt1446192,97.0
202,3,2005-04-08,Sahara,145000000,68671925,"Adventure,Animation,Comedy",tt4466894,86.0
203,4,2016-07-15,Ghostbusters,144000000,128350574,"Action,Comedy,Fantasy",tt1289401,116.0
204,5,2002-11-22,Die Another Day,142000000,160942139,,,
205,6,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,305411224,,,
206,7,2009-05-08,Star Trek,140000000,257730019,,,
207,8,1998-07-01,Armageddon,140000000,201578182,,,
208,9,2002-07-03,Men in Black 2,140000000,190418803,,,
209,10,2011-07-22,Captain America: The First Avenger,140000000,176654505,"Action,Adventure,Sci-Fi",tt0458339,124.0
210,11,2016-01-29,Kung Fu Panda 3,140000000,143528619,"Action,Adventure,Animation",tt2267968,95.0
211,12,1998-07-10,Lethal Weapon 4,140000000,130444603,,,
212,13,2013-03-27,G.I. Joe: Retaliation,140000000,122523060,"Action,Adventure,Sci-Fi",tt1583421,110.0
213,14,2003-12-05,The Last Samurai,140000000,111110575,,,
214,15,2005-12-21,Fun With Dick And Jane,140000000,110550000,,,
215,16,2014-12-12,Exodus: Gods and Kings,140000000,65014513,"Action,Adventure,Drama",tt1528100,150.0
216,17,2016-07-01,The BFG,140000000,55483770,"Adventure,Family,Fantasy",tt3691740,117.0
217,18,2016-02-26,Gods of Egypt,140000000,31153464,"Action,Adventure,Fantasy",tt2404233,127.0
218,19,2002-05-03,Spider-Man,139000000,403706375,,,
219,20,2009-03-06,Watchmen,138000000,107509799,,,
220,21,2005-07-29,Stealth,138000000,32116746,"Action,Comedy",tt2352432,51.0
221,22,2008-06-13,The Incredible Hulk,137500000,134806913,,,
222,23,2003-06-20,Hulk,137000000,132177234,,,
223,24,2001-07-11,Final Fantasy: The Spirits Within,137000000,32131830,,,
224,25,2012-11-16,"The Twilight Saga: Breaking Dawn, Part 2",136200000,292324737,,,
225,26,2013-03-22,The Croods,135000000,187168425,"Action,Adventure,Animation",tt0481499,98.0
226,27,2015-12-25,The Revenant,135000000,183637894,"Action,Adventure,Biography",tt1663202,156.0
227,28,1999-11-19,The World is Not Enough,135000000,126930660,,,
228,29,2011-03-04,Rango,135000000,123477607,"Adventure,Animation,Comedy",tt1192628,107.0
229,30,2003-11-14,Master and Commander: The Far Side of the World,135000000,93926386,,,
230,31,2013-07-17,Turbo,135000000,83028130,"Adventure,Animation,Comedy",tt1860353,96.0
231,32,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,"Action,Adventure,Comedy",tt3949660,112.0
232,33,2011-11-18,Happy Feet Two,135000000,64006466,"Adventure,Animation,Comedy",tt1402488,100.0
233,34,2006-07-28,Miami Vice,135000000,63478838,,,
234,35,2018-11-02,The Nutcracker and the Four Realms,132900000,54858851,"Adventure,Family,Fantasy",tt5523010,99.0
235,36,2005-06-29,War of the Worlds,132000000,234280354,Sci-Fi,tt3327426,50.0
236,37,2014-11-26,Penguins of Madagascar,132000000,83350911,"Adventure,Animation,Comedy",tt1911658,92.0
237,38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,"Action,Adventure,Sci-Fi",tt1951264,146.0
238,39,2004-06-04,Harry Potter and the Prisoner of Azkaban,130000000,249757726,,,
239,40,2007-08-03,The Bourne Ultimatum,130000000,227471070,,,
240,41,2018-07-06,Ant-Man and the Wasp,130000000,216648740,"Action,Adventure,Comedy",tt5095030,118.0
241,42,2008-06-06,Kung Fu Panda,130000000,215434591,,,
242,43,2015-07-17,Ant-Man,130000000,180202163,"Action,Adventure,Comedy",tt0478970,117.0
243,44,2015-03-27,Home,130000000,177397510,Drama,tt2075392,76.0
244,45,2018-12-19,Mary Poppins Returns,130000000,171958438,"Comedy,Family,Fantasy",tt5028340,130.0
245,46,2011-10-28,Puss in Boots,130000000,149260504,"Action,Adventure,Animation",tt0448694,90.0
246,47,2010-11-05,Megamind,130000000,148415853,"Action,Animation,Comedy",tt1001526,95.0
247,48,2003-07-18,Bad Boys II,130000000,138540870,,,
248,49,2014-04-11,Rio 2,130000000,131538435,"Adventure,Animation,Comedy",tt2357291,101.0
249,50,2010-07-23,Salt,130000000,118311368,"Action,Mystery,Thriller",tt0944835,100.0
250,51,2014-03-28,Noah,130000000,101200044,Animation,tt1091821,
251,52,2011-12-21,The Adventures of Tintin,130000000,77591831,"Action,Adventure,Animation",tt0983193,107.0
252,53,2013-05-31,After Earth,130000000,60522097,"Action,Adventure,Drama",tt1815862,100.0
253,54,2008-11-26,Australia,130000000,49554002,,,
254,55,2013-07-19,R.I.P.D.,130000000,33618855,"Action,Adventure,Comedy",tt0790736,96.0
255,56,2019-02-22,How to Train Your Dragon: The Hidden World,129000000,160791800,"Action,Adventure,Animation",tt2386490,104.0
256,57,2011-11-18,"The Twilight Saga: Breaking Dawn, Part 1",127500000,281287133,,,
257,58,2000-05-19,Dinosaur,127500000,137748063,Animation,tt1843902,77.0
258,59,2017-03-03,Logan,127000000,226277068,"Comedy,Drama,Family",tt1483010,94.0
259,60,2014-12-19,Night at the Museum: Secret of the Tomb,127000000,113746621,"Adventure,Comedy,Family",tt2692250,98.0
260,61,2011-07-15,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,,,
261,62,2014-11-21,The Hunger Games: Mockingjay - Part 1,125000000,337135885,"Action,Adventure,Sci-Fi",tt1951265,123.0
262,63,2001-11-16,Harry Potter and the Sorcererâs Stone,125000000,317871467,,,
263,64,2010-11-19,Harry Potter and the Deathly Hallows: Part I,125000000,296131568,,,
264,65,2006-05-19,The Da Vinci Code,125000000,217536138,,,
265,66,2003-05-02,X-Men 2,125000000,214949694,,,
266,67,2011-04-29,Fast Five,125000000,210031325,"Action,Crime,Thriller",tt1596343,130.0
267,68,2014-08-08,Teenage Mutant Ninja Turtles,125000000,191204754,"Action,Adventure,Comedy",tt1291150,101.0
268,69,2011-12-16,Sherlock Holmes: A Game of Shadows,125000000,186848418,"Action,Adventure,Crime",tt1515091,129.0
269,70,2004-05-28,The Day After Tomorrow,125000000,186740799,,,
270,71,2017-03-31,The Boss Baby,125000000,175003033,"Adventure,Animation,Comedy",tt3874544,97.0
271,72,2010-04-01,Clash of the Titans,125000000,163214888,"Action,Adventure,Fantasy",tt0800320,106.0
272,73,2016-11-04,Trolls,125000000,153707064,"Adventure,Animation,Comedy",tt1679335,92.0
273,74,1998-05-19,Godzilla,125000000,136314294,"Action,Adventure,Sci-Fi",tt0831387,123.0
274,75,2012-06-08,Prometheus,125000000,126477084,"Adventure,Mystery,Sci-Fi",tt1446714,124.0
275,76,2012-08-10,The Bourne Legacy,125000000,113203870,"Action,Adventure,Thriller",tt1194173,135.0
276,77,1997-06-20,Batman & Robin,125000000,107325195,,,
277,78,2018-07-13,Skyscraper,125000000,68420120,"Action,Adventure,Thriller",tt5758778,102.0
278,79,2012-08-03,Total Recall,125000000,58877969,"Action,Adventure,Mystery",tt1386703,118.0
279,80,2016-12-21,Assassinâs Creed,125000000,54647948,,,
280,81,2017-01-13,Monster Trucks,125000000,33370166,"Action,Adventure,Comedy",tt3095734,104.0
281,82,1999-08-27,The 13th Warrior,125000000,32698899,,,
282,83,2000-11-17,How the Grinch Stole Christmas,123000000,260044825,,,
283,84,2000-05-24,Mission: Impossible 2,120000000,215409889,,,
284,85,2000-06-30,The Perfect Storm,120000000,182618434,,,
285,86,2016-07-29,Jason Bourne,120000000,162192920,"Action,Thriller",tt4196776,123.0
286,87,2007-06-15,Fantastic Four: Rise of the Silver Surfer,120000000,131921738,,,
287,88,2012-11-21,Life of Pi,120000000,124987022,"Adventure,Drama,Fantasy",tt0454876,127.0
288,89,2007-02-16,Ghost Rider,120000000,115802596,,,
289,90,2018-04-13,Rampage,120000000,101028233,"Action,Adventure,Sci-Fi",tt2231461,107.0
290,91,2003-06-27,Charlie's Angels: Full Throttle,120000000,100814328,,,
291,92,2013-08-09,Elysium,120000000,93050117,"Action,Drama,Sci-Fi",tt1535108,109.0
292,93,2013-04-19,Oblivion,120000000,89107235,"Action,Adventure,Sci-Fi",tt1483013,124.0
293,94,2017-03-24,Power Rangers,120000000,85364450,"Action,Adventure,Sci-Fi",tt3717490,124.0
294,95,2002-07-19,Stuart Little 2,120000000,64956806,,,
295,96,2014-02-12,RoboCop,120000000,58607007,"Action,Crime,Sci-Fi",tt1234721,117.0
296,97,2004-06-11,The Chronicles of Riddick,120000000,57712751,,,
297,98,2015-08-07,Fantastic Four,120000000,56117548,"Action,Adventure,Drama",tt1502712,100.0
298,99,2008-05-09,Speed Racer,120000000,43945766,,,
299,100,2005-07-22,The Island,120000000,35818913,"Drama,Romance",tt1737256,95.0
300,1,2010-12-17,How Do You Know?,120000000,30212620,,,
301,2,2010-06-23,Knight and Day,117000000,76423035,"Action,Adventure,Comedy",tt1013743,109.0
302,3,2018-10-05,Venom,116000000,213511408,"Action,Sci-Fi,Thriller",tt1270797,112.0
303,4,1999-05-19,Star Wars Ep. I: The Phantom Menace,115000000,474544677,,,
304,5,2005-05-19,Star Wars Ep. III: Revenge of the Sith,115000000,380270577,,,
